agency_type,product_name,gender,duration,destination,net_sales_SGD,age,claim,age_group
Airlines,Silver Plan,M,2,SINGAPORE,30.0,37,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,24,THAILAND,31.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,38,AUSTRALIA,58.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,12,SPAIN,9.9,26,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,4,SINGAPORE,15.0,68,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,42,HONG KONG,21.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,11,MALAYSIA,29.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,2,MACAO,32.0,35,0,Adult Travelers
Airlines,Value Plan,M,30,UNITED KINGDOM,125.0,43,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,8,CHINA,48.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,13,MALAYSIA,29.7,27,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,34,SRI LANKA,20.0,36,0,Adult Travelers
Airlines,24 Protect,M,3,"IRAN, ISLAMIC REPUBLIC OF",21.04,48,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,40,"TAIWAN, PROVINCE OF CHINA",33.0,36,0,Adult Travelers
Airlines,Basic Plan,M,5,CHINA,26.0,29,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,79,INDONESIA,23.0,39,0,Adult Travelers
Travel Agency,Comprehensive Plan,F,43,MALAYSIA,29.0,8,0,Child Travelers
Travel Agency,Cancellation Plan,Not Specified,25,POLAND,34.0,36,0,Adult Travelers
Airlines,Bronze Plan,M,16,SINGAPORE,30.55,22,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,30,INDIA,10.0,32,0,Adult Travelers
Airlines,Basic Plan,F,26,CHINA,35.0,27,0,Young Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,6,AUSTRALIA,49.5,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,83,CANADA,80.0,61,0,Senior Citizen Travelers
Airlines,Basic Plan,M,9,INDONESIA,18.0,49,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,55,"KOREA, REPUBLIC OF",98.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,18,VIET NAM,10.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,8,SINGAPORE,10.0,31,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,20,OMAN,49.5,56,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,26,CHINA,36.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,29,SINGAPORE,20.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,18,PHILIPPINES,77.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,55,HONG KONG,20.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,1,SINGAPORE,20.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,18,GREECE,29.7,43,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,35,UNITED STATES,10.0,29,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,36,"TAIWAN, PROVINCE OF CHINA",47.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,75,UNITED KINGDOM,78.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,8,UNITED KINGDOM,69.3,50,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,42,AUSTRALIA,69.3,34,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,9,THAILAND,69.3,28,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,32,INDONESIA,20.0,29,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,232,TURKEY,80.0,36,0,Adult Travelers
Airlines,Basic Plan,M,42,"KOREA, REPUBLIC OF",35.0,43,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,37,"KOREA, REPUBLIC OF",33.0,29,0,Young Adult Travelers
Airlines,Bronze Plan,M,10,SINGAPORE,21.0,22,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,35,INDIA,10.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,7,SINGAPORE,64.0,35,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,15,SINGAPORE,20.0,36,0,Adult Travelers
Airlines,Value Plan,Not Specified,3,BRUNEI DARUSSALAM,15.0,38,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,17,CHINA,26.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,99,DENMARK,227.7,50,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,6,SINGAPORE,10.0,35,0,Adult Travelers
Travel Agency,Single Trip Travel Protect Gold,M,26,UNITED KINGDOM,48.5,23,0,Young Adult Travelers
Airlines,Basic Plan,F,173,INDONESIA,33.0,44,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,74,SINGAPORE,40.0,36,0,Adult Travelers
Airlines,Basic Plan,M,23,VIET NAM,22.0,57,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,2,INDONESIA,24.0,35,0,Adult Travelers
Airlines,Bronze Plan,F,82,SINGAPORE,161.0,50,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,66,SWITZERLAND,99.0,57,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,156,JAPAN,26.0,36,1,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,16,AUSTRALIA,59.4,29,0,Young Adult Travelers
Airlines,Value Plan,M,10,CHINA,45.0,45,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,32,SINGAPORE,44.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,73,THAILAND,33.0,53,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,3,CHINA,30.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,8,CHINA,19.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,39,PHILIPPINES,20.0,20,0,Young Adult Travelers
Travel Agency,Value Plan,F,95,BELGIUM,75.0,48,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,98,"TAIWAN, PROVINCE OF CHINA",21.0,36,0,Adult Travelers
Airlines,Silver Plan,F,9,SINGAPORE,39.0,31,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,111,INDONESIA,22.0,36,0,Adult Travelers
Airlines,Bronze Plan,F,8,SINGAPORE,17.55,30,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,31,JAPAN,51.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,13,MALAYSIA,10.0,47,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,53,INDONESIA,29.7,54,0,Adult Travelers
Airlines,Bronze Plan,F,40,SINGAPORE,80.25,29,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,18,THAILAND,63.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,20,VIET NAM,33.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,37,PHILIPPINES,12.0,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,87,UNITED STATES,64.0,20,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,9,CHINA,112.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,70,HONG KONG,10.0,20,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,25,INDIA,30.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,151,UNITED STATES,112.0,69,0,Senior Citizen Travelers
Airlines,Silver Plan,F,19,SINGAPORE,72.0,34,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,45,JAPAN,53.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,20,JAPAN,38.0,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,3,SINGAPORE,15.0,36,0,Adult Travelers
Airlines,Bronze Plan,M,11,SINGAPORE,17.0,52,1,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,37,SINGAPORE,24.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,23,MALAYSIA,59.4,53,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,54,INDIA,54.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,23,SINGAPORE,37.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,10,"TAIWAN, PROVINCE OF CHINA",36.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,14,MALAYSIA,19.8,25,1,Young Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,31,THAILAND,33.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,38,INDONESIA,69.0,36,0,Adult Travelers
Airlines,Value Plan,F,4,BRUNEI DARUSSALAM,15.0,28,0,Young Adult Travelers
Airlines,Basic Plan,M,38,THAILAND,30.0,46,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,114,SWEDEN,115.0,36,0,Adult Travelers
Airlines,Silver Plan,F,13,SINGAPORE,76.3,35,1,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,118,MYANMAR,20.0,30,0,Young Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,62,KENYA,26.0,36,0,Adult Travelers
Airlines,Silver Plan,M,3,SINGAPORE,19.5,27,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,2,CHINA,19.0,36,0,Adult Travelers
Airlines,Bronze Plan,F,11,SINGAPORE,29.5,27,0,Young Adult Travelers
Airlines,Bronze Plan,M,58,SINGAPORE,62.0,23,1,Young Adult Travelers
Airlines,Basic Plan,F,19,CHINA,26.0,40,0,Adult Travelers
Airlines,Value Plan,Not Specified,2,MALAYSIA,15.0,58,0,Adult Travelers
Airlines,Basic Plan,M,28,MALAYSIA,30.0,33,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,14,MYANMAR,11.0,36,0,Adult Travelers
Airlines,Ticket Protector,Not Specified,36,SINGAPORE,3.73,48,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,42,CHINA,26.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,11,INDONESIA,21.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,12,SINGAPORE,80.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,3,MALAYSIA,19.8,45,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,20,VIET NAM,11.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,112,SINGAPORE,79.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,326,PHILIPPINES,19.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,74,AUSTRALIA,138.6,50,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,22,SINGAPORE,10.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,24,SWITZERLAND,49.5,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,59,INDIA,18.0,30,0,Young Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,3,MALAYSIA,20.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,4,MALAYSIA,10.0,36,0,Adult Travelers
Airlines,Silver Plan,M,19,SINGAPORE,22.5,22,1,Young Adult Travelers
Airlines,Basic Plan,F,43,PHILIPPINES,42.0,43,0,Adult Travelers
Airlines,Silver Plan,F,44,SINGAPORE,39.0,50,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,29,CZECH REPUBLIC,59.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,11,UNITED STATES,59.4,42,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,18,MALAYSIA,29.7,41,0,Adult Travelers
Airlines,Basic Plan,M,27,THAILAND,22.0,39,0,Adult Travelers
Airlines,Basic Plan,M,19,JAPAN,44.0,41,0,Adult Travelers
Airlines,Bronze Plan,M,6,SINGAPORE,16.0,27,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,16,SINGAPORE,10.0,70,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,21,INDIA,26.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,23,"KOREA, REPUBLIC OF",29.7,25,0,Young Adult Travelers
Airlines,Basic Plan,M,7,MALAYSIA,18.0,53,0,Adult Travelers
Airlines,Ticket Protector,Not Specified,97,SINGAPORE,5.59,48,0,Adult Travelers
Airlines,Bronze Plan,M,16,SINGAPORE,33.5,20,0,Young Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,17,FRANCE,29.7,51,0,Adult Travelers
Travel Agency,Travel Cruise Protect,F,63,MALAYSIA,30.0,76,0,Senior Citizen Travelers
Airlines,Bronze Plan,M,6,SINGAPORE,53.25,33,0,Adult Travelers
Airlines,Bronze Plan,F,4,SINGAPORE,16.0,65,0,Senior Citizen Travelers
Airlines,Silver Plan,M,21,SINGAPORE,62.25,34,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,35,VIET NAM,23.0,36,0,Adult Travelers
Travel Agency,Value Plan,M,74,GERMANY,75.0,48,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,16,RUSSIAN FEDERATION,25.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,21,RUSSIAN FEDERATION,93.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,60,JAPAN,30.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,11,MALAYSIA,10.0,36,0,Adult Travelers
Airlines,Ticket Protector,Not Specified,45,SINGAPORE,1.03,48,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,43,CHINA,27.0,36,0,Adult Travelers
Airlines,Bronze Plan,F,24,SINGAPORE,32.0,74,0,Senior Citizen Travelers
Travel Agency,Single Trip Travel Protect Silver,F,17,UNITED STATES,56.5,35,0,Adult Travelers
Airlines,Value Plan,M,14,THAILAND,39.0,39,0,Adult Travelers
Airlines,Value Plan,M,18,AUSTRALIA,58.0,48,0,Adult Travelers
Airlines,Bronze Plan,F,9,SINGAPORE,20.0,41,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,38,PAKISTAN,32.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,7,MALAYSIA,39.6,57,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,20,JAPAN,72.0,36,0,Adult Travelers
Airlines,Basic Plan,F,39,SRI LANKA,22.0,29,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,17,HONG KONG,34.0,36,0,Adult Travelers
Airlines,Bronze Plan,M,5,SINGAPORE,16.0,29,0,Young Adult Travelers
Airlines,Basic Plan,M,10,CHINA,22.0,66,0,Senior Citizen Travelers
Airlines,Basic Plan,M,51,THAILAND,22.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,38,SINGAPORE,20.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,7,CHINA,37.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,180,INDONESIA,10.0,28,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,23,INDONESIA,20.0,31,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,4,THAILAND,20.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,39,UNITED KINGDOM,59.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,7,PHILIPPINES,28.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,2,INDIA,22.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,160,ARGENTINA,41.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,25,INDIA,32.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,73,POLAND,128.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,39,HONG KONG,19.0,36,0,Adult Travelers
Airlines,Value Plan,F,9,AUSTRALIA,45.0,45,1,Adult Travelers
Airlines,Silver Plan,F,6,SINGAPORE,22.5,43,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,26,INDONESIA,24.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,25,HONG KONG,29.0,35,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,65,AUSTRALIA,9.9,31,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,11,SINGAPORE,80.0,36,0,Adult Travelers
Airlines,Basic Plan,M,14,CHINA,26.0,45,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,5,UNITED STATES,43.0,28,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,93,INDONESIA,20.0,45,0,Adult Travelers
Airlines,Value Plan,F,71,AUSTRALIA,58.0,28,0,Young Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,13,MALAYSIA,19.8,47,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,25,SINGAPORE,20.0,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,2,INDIA,16.0,35,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,34,UNITED STATES,21.0,32,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,5,SINGAPORE,10.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,8,CHINA,30.0,36,0,Adult Travelers
Airlines,Basic Plan,F,9,SRI LANKA,26.0,63,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,8,MALAYSIA,15.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,40,SINGAPORE,30.0,29,0,Young Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,28,INDONESIA,20.0,41,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,76,JAPAN,45.0,36,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,69,UNITED KINGDOM,138.6,48,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,19,CHINA,26.0,36,0,Adult Travelers
Airlines,Bronze Plan,F,10,SINGAPORE,40.0,55,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,17,SINGAPORE,10.0,39,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,15,UNITED KINGDOM,66.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,110,ARGENTINA,80.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,5,JAPAN,10.0,22,0,Young Adult Travelers
Airlines,Bronze Plan,M,11,SINGAPORE,26.5,41,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,13,THAILAND,49.5,31,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,2,MALAYSIA,20.0,21,0,Young Adult Travelers
Airlines,Ticket Protector,Not Specified,146,SINGAPORE,0.19,48,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,6,AUSTRALIA,29.7,60,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,6,THAILAND,25.0,34,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,16,AUSTRALIA,49.5,48,0,Adult Travelers
Airlines,Basic Plan,M,116,THAILAND,18.0,39,0,Adult Travelers
Airlines,Basic Plan,M,2,CHINA,22.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,129,MALAYSIA,10.0,41,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,62,INDIA,50.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,6,UNITED STATES,23.0,49,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,11,AUSTRALIA,39.6,47,0,Adult Travelers
Airlines,Value Plan,F,84,"KOREA, REPUBLIC OF",69.0,34,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,63,"TANZANIA, UNITED REPUBLIC OF",112.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,17,PHILIPPINES,20.0,36,0,Adult Travelers
Airlines,Bronze Plan,M,12,SINGAPORE,16.0,21,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,33,MALAYSIA,21.0,36,0,Adult Travelers
Airlines,Basic Plan,F,43,AUSTRALIA,83.0,59,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,19,MYANMAR,34.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,149,MALAYSIA,20.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,73,VIET NAM,16.0,36,0,Adult Travelers
Airlines,Silver Plan,M,6,SINGAPORE,35.5,29,0,Young Adult Travelers
Airlines,Value Plan,M,17,CHINA,58.0,30,0,Young Adult Travelers
Travel Agency,Travel Cruise Protect,F,38,MALAYSIA,30.0,63,0,Senior Citizen Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,5,INDONESIA,38.0,35,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,14,JAPAN,53.0,36,0,Adult Travelers
Airlines,Basic Plan,F,39,HONG KONG,26.0,54,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,13,THAILAND,35.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,70,UNITED STATES,80.0,59,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,7,MALAYSIA,10.0,36,0,Adult Travelers
Airlines,Basic Plan,F,4,MYANMAR,18.0,30,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,33,JAPAN,30.0,27,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,3,CHINA,18.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,62,INDONESIA,20.0,43,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,100,AUSTRALIA,59.4,31,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,13,SINGAPORE,24.0,36,0,Adult Travelers
Airlines,Basic Plan,F,68,CHINA,40.0,21,0,Young Adult Travelers
Airlines,Bronze Plan,F,4,SINGAPORE,13.5,28,0,Young Adult Travelers
Airlines,Silver Plan,M,64,SINGAPORE,63.5,60,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,8,HONG KONG,73.0,36,0,Adult Travelers
Airlines,Value Plan,M,5,CHINA,45.0,42,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,14,CHINA,13.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,13,MALAYSIA,14.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,9,SERBIA,10.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,31,UNITED STATES,16.0,27,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,44,MALAYSIA,10.0,53,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,24,SINGAPORE,112.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,25,INDONESIA,19.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,77,UNITED STATES,112.0,40,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,6,CHINA,41.0,36,0,Adult Travelers
